N,MSE
1,1279.047104964383
2,1078.681702021406
3,972.4798846779404
4,885.8711736742626
5,806.5437879254179
6,754.3430905976813
7,716.3522808643305
8,680.1643353025298
9,649.7026858155762
10,621.7159322238381
11,599.377774877605
12,577.6761255869288
13,560.3039025044948
14,543.7353092529405
15,528.6046766592855
16,514.4213586053359
17,500.8214945347714
18,487.71203388065135
19,476.2941186924532
20,465.49908583073426
21,455.0831665890239
22,445.170804478111
23,435.96377199294443
24,427.52175588783456
25,419.3080273189764
26,411.64547274199316
27,404.1731708522777
28,396.73884364171755
29,389.7835875248897
30,383.0128547414464
31,376.35179292521906
32,370.1550454667853
33,364.03072438282754
34,358.1267292815286
35,352.38996851269013
36,346.9507476591858
37,341.67255814129453
38,336.449812125414
39,331.5227479004169
40,326.8617997900425
41,322.2766778229248
42,317.763533684877
43,313.38927897193025
44,309.07979894273365
45,304.92035665349067
46,300.9039409622901
47,296.9567397934361
48,293.0925215666977
49,289.29268611430786
50,285.5675782301028
51,281.9119066686619
52,278.501134190625
53,275.13654035490475
54,271.8212758770541
55,268.52291585574307
56,265.3345517864915
57,262.2225755594624
58,259.18875937477867
59,256.1917654642641
60,253.22258804614304
61,250.34186251873697
62,247.54317539301323
63,244.82650311932773
64,242.17312558462308
65,239.58960218639692
66,237.0356052281263
67,234.51365701934532
68,232.05782831694899
69,229.6596421922934
70,227.32652928874728
71,225.01826192479626
72,222.7287614396395
73,220.46366440612272
74,218.2581262687582
75,216.0638046775905
76,213.90234896431073
77,211.75734839264643
78,209.66290049433323
79,207.57814383037024
80,205.49580646946015
81,203.44938816711687
82,201.4545388881178
83,199.46960754538455
84,197.53725920396758
85,195.6295281925609
86,193.7505661046179
87,191.88726113236925
88,190.06798709377526
89,188.27028751307864
90,186.48160725976268
91,184.70069803755686
92,182.9638173989298
93,181.23651766127244
94,179.537401307824
95,177.86082344763093
96,176.21317905893557
97,174.57784072760168
98,172.98261088758102
99,171.4032811186589
100,169.8664593448047
101,168.33499642920637
102,166.8256952618121
103,165.33710957572245
104,163.8579441387854
105,162.39470725071334
106,160.94334233691492
107,159.51416547301937
108,158.10527801437968
109,156.7025377821926
110,155.31590335417266
111,153.94958907206
112,152.5937355544706
113,151.24330526414155
114,149.93167450303562
115,148.6317678049502
116,147.33574029550005
117,146.06295054335743
118,144.8085930622587
119,143.55952984191558
120,142.3203075196729
121,141.08588899947517
122,139.86543171994737
123,138.665037873412
124,137.47307050491375
125,136.29654733351322
126,135.12880177540708
127,133.9668698879537
128,132.81932778758102
129,131.67697601350724
130,130.5509095996195
131,129.43864510226283
132,128.32823198547106
133,127.22566833154231
134,126.14254805149172
135,125.06039953344289
136,123.9902400918054
137,122.93460108900491
138,121.88898573717175
139,120.849122978154
140,119.81530970727503
141,118.78745550677013
142,117.77360821605897
143,116.76353956197433
144,115.75586331055109
145,114.76307130574827
146,113.77568246863983
147,112.79916874596714
148,111.8286890381657
149,110.86777390498453
150,109.90974968641865
151,108.96246717120265
152,108.02776168096331
153,107.09932253285795
154,106.17454305651087
155,105.25581808024059
156,104.34510503423061
157,103.44005957607828
158,102.54519042687188
159,101.66006371904435
160,100.77710912449373
161,99.90422015819934
162,99.03947314312603
163,98.18000592783315
164,97.32407132540666
165,96.47499882085928
166,95.62715985508805
167,94.7904251659528
168,93.96058490442739
169,93.13785739948574
170,92.32430275715693
171,91.5118675923232
172,90.70708020140377
173,89.90577835179022
174,89.11497423897251
175,88.33277240766232
176,87.55244758855905
177,86.78006787553323
178,86.00990311800638
179,85.2453902320547
180,84.48401925886523
181,83.73136470628579
182,82.9897940236249
183,82.25458854173075
184,81.5227101554751
185,80.79347254864311
186,80.070862316597
187,79.35509670904437
188,78.64325666380503
189,77.9348188773264
190,77.23313114299097
191,76.53302126973496
192,75.83755344147156
193,75.1437270340679
194,74.45672196431812
195,73.78310567260363
196,73.1138176936862
197,72.45141097871445
198,71.79319903239325
199,71.1384141094483
200,70.48815147608931
201,69.84036279571714
202,69.1991798871047
203,68.56254646795603
204,67.92881784149336
205,67.30067554078357
206,66.67445673265121
207,66.0515254171255
208,65.43398345458196
209,64.82245360720842
210,64.21270846296868
211,63.61223388949662
212,63.01534148671552
213,62.4208081147571
214,61.82860549017548
215,61.240621531492344
216,60.65574575965193
217,60.07295141427568
218,59.4977886642688
219,58.92472156171402
220,58.35727587760424
221,57.79540815021693
222,57.23932325838829
223,56.68411241701953
224,56.12958483327902
225,55.58022429208821
226,55.0365965105114
227,54.49612943036274
228,53.9565519163368
229,53.41902752548516
230,52.88733418395154
231,52.358921826217
232,51.83343733301397
233,51.31197440670352
234,50.7955452450331
235,50.282055699456116
236,49.77363742640169
237,49.26833710899006
238,48.76525069882781
239,48.26552781155064
240,47.767339156897634
241,47.270788841899694
242,46.778932546304645
243,46.291072489920786
244,45.80435752770687
245,45.32306330025606
246,44.84275207945808
247,44.36632861157154
248,43.89290724858499
249,43.42631061344485
250,42.961347047168985
251,42.49841590358646
252,42.041529938073985
253,41.58542264724318
254,41.132254733443744
255,40.682649689788256
256,40.2338619408591
257,39.78759709058873
258,39.34264590309389
259,38.90285888897416
260,38.46404882933706
261,38.02707810027761
262,37.593396403272244
263,37.164287970751474
264,36.73776349714875
265,36.314390558945526
266,35.894003058434585
267,35.47625577926058
268,35.06029340116485
269,34.64660921549352
270,34.23796417483149
271,33.8298234131513
272,33.424908180992844
273,33.020780860288575
274,32.620912128558494
275,32.224169938738264
276,31.82992079724524
277,31.442427510834293
278,31.05808115406581
279,30.67565120022522
280,30.294601557714476
281,29.91517400113388
282,29.539492184023015
283,29.164953809233268
284,28.790636559820346
285,28.420914392687486
286,28.053851130656746
287,27.68928001425111
288,27.327144470250733
289,26.966197635883894
290,26.60770591099164
291,26.250463308232494
292,25.895384282884006
293,25.542095281284233
294,25.190393077449148
295,24.841732553122956
296,24.496666546197126
297,24.15225397457284
298,23.811861070072386
299,23.473326554458435
300,23.137193335633185
301,22.804268404168578
302,22.471421281989006
303,22.140748437649997
304,21.811938705793303
305,21.4885582550441
306,21.16626038800715
307,20.84761185684073
308,20.529437266371744
309,20.21503741416661
310,19.90224288279568
311,19.593132866602687
312,19.285445938770636
313,18.98178239790665
314,18.678755746201016
315,18.377117484340214
316,18.07723218928774
317,17.780110257760427
318,17.48581262306674
319,17.19212954803711
320,16.900639618512532
321,16.609405156115287
322,16.32054740799014
323,16.03423065421909
324,15.749805735882973
325,15.467781915741675
326,15.186305071780843
327,14.906476948794634
328,14.630215107788906
329,14.355626922735016
330,14.082702645026975
331,13.81112570682123
332,13.541628773911627
333,13.272436786883432
334,13.003993873307117
335,12.740897242397642
336,12.478409672604533
337,12.217905736876203
338,11.960178620321534
339,11.70332646073095
340,11.447760463537751
341,11.194894640745765
342,10.942566829970971
343,10.692365786396751
344,10.443921578944606
345,10.196951038846414
346,9.951817684008041
347,9.708291862962987
348,9.465081061160953
349,9.226506700842219
350,8.989393963184872
351,8.753640540273423
352,8.519987227450297
353,8.287120613267959
354,8.054924220243915
355,7.824406858075521
356,7.596213151756547
357,7.370380009003174
358,7.146998394930298
359,6.924498539932533
360,6.706565568226844
361,6.489435265450914
362,6.27312986041624
363,6.05954041794008
364,5.847530601159248
365,5.639077512368473
366,5.432210213295812
367,5.227856838312571
368,5.026772108572915
369,4.826166051535711
370,4.6292579860442205
371,4.433416743892803
372,4.239068662666209
373,4.047035493478058
374,3.855132849884498
375,3.6661275513915452
376,3.4795086134737185
377,3.2949209273611286
378,3.1124825411573416
379,2.931562809854342
380,2.7531625940359707
381,2.5755105322385408
382,2.402799783674229
383,2.233764570443603
384,2.066217610035768
385,1.9019002520973454
386,1.7387535796797964
387,1.5808559570817051
388,1.4236553823547027
389,1.2716002642377
390,1.1235998868778718
391,0.9772298376911337
392,0.8347132434761284
393,0.6998140879650299
394,0.5698572706479806
395,0.4429025213418933
396,0.3233895592147562
397,0.20731639407496716
398,0.10214786214953547
399,1.7985221795744218e-25
400,1.7490179637671025e-25
401,1.7275821383130784e-25
402,1.6958924824199127e-25
403,1.4235797053704407e-25
404,1.412241048196925e-25
405,1.4073961799179375e-25
406,1.3988036423150842e-25
407,1.3919176172506236e-25
408,6.999274475428654e-26
409,6.975156615260623e-26
410,6.925058256261693e-26
411,6.844771575703582e-26
412,6.814424413472865e-26
413,6.789382111932227e-26
414,6.65316607228151e-26
415,6.587565865353595e-26
416,6.52844397056368e-26
417,6.489904716955314e-26
418,6.449376890936067e-26
419,6.348067726237175e-26
420,6.325693721064234e-26
421,6.308921784401715e-26
422,6.289664527538013e-26
423,6.193513098408276e-26
424,6.167331865042647e-26
425,5.948025559356973e-26
426,5.900260227759629e-26
427,5.884174898113455e-26
428,5.854295022579509e-26
429,5.841990779011252e-26
430,5.835686693859168e-26
431,5.827814929193523e-26
432,5.826204504669325e-26
433,5.826138688672308e-26
434,5.825274649012558e-26
435,5.825083503536859e-26
436,5.823633456134562e-26
437,5.821759715503972e-26
